representation,split,split_type,model,mae,brier,spearman_rho,kl
wals_s42_B_masked50,value_No_dom_order_VOS_OVS,value,family_mean,,,,
wals_s42_B_masked50,value_No_dom_order_VOS_OVS,value,mlp,,,,
grambank_s42_A,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
grambank_s42_A,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
grambank_s42_A,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
grambank_s42_A,A_random,A,mlp,0.38332872496865467,0.16484805249845302,0.35605634680069387,0.42407895703178966
grambank_s42_A,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
grambank_s42_A,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_A,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_A,family_Afro-Asiatic,family,mlp,0.2326916622754297,0.08047498598162534,0.8173937007360362,0.24899190869935153
grambank_s42_A,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
grambank_s42_A,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_A,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_A,family_Indo-European,family,mlp,0.37831743363276565,0.1617507999850567,0.1589626492192142,0.415529070917665
grambank_s42_A,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
grambank_s42_A,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_A,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_A,family_Uralic,family,mlp,0.3089017668703812,0.1479500162618885,-0.008831041373169509,0.3842085772151184
grambank_s42_A,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
grambank_s42_A,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_A,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_A,family_Dravidian,family,mlp,0.5256523988758376,0.3282868161529399,-0.11534447462313467,0.8739050257022528
grambank_s42_A,value_No_dom_order,value,zero_order_0.5,,,,
grambank_s42_A,value_No_dom_order,value,majority_per_config,,,,
grambank_s42_A,value_No_dom_order,value,family_mean,,,,
grambank_s42_A,value_No_dom_order,value,mlp,,,,
grambank_s42_A,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
grambank_s42_A,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
grambank_s42_A,value_No_dom_order_VOS_OVS,value,family_mean,,,,
grambank_s42_A,value_No_dom_order_VOS_OVS,value,mlp,,,,
grambank_s42_B,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
grambank_s42_B,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
grambank_s42_B,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
grambank_s42_B,A_random,A,mlp,0.37334374072144766,0.15785986279688297,0.43882091322868194,0.4100264540387582
grambank_s42_B,family_Afro-Asiatic,family,zero_order_0.5,0.40589239584416476,0.18128385487273885,,0.47373865591463343
grambank_s42_B,family_Afro-Asiatic,family,majority_per_config,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_B,family_Afro-Asiatic,family,family_mean,0.3009372874712773,0.12082067014533728,0.5180727004034962,0.3610646405756865
grambank_s42_B,family_Afro-Asiatic,family,mlp,0.2970562235974722,0.11198753041600737,0.7868097809133461,0.3264062430008497
grambank_s42_B,family_Indo-European,family,zero_order_0.5,0.3873809995952695,0.16815931160270361,,0.4283678969795859
grambank_s42_B,family_Indo-European,family,majority_per_config,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_B,family_Indo-European,family,family_mean,0.2972322307517089,0.12448826468195319,0.30676281525356425,0.34136183162417266
grambank_s42_B,family_Indo-European,family,mlp,0.38930653347125993,0.1706235776435885,-0.25345592121090876,0.433300744984133
