glottocode,family_id,source
imba1240,quec1387,grambank
imon1245,bord1247,grambank
inap1243,araw1281,grambank
indo1316,aust1307,grambank
ines1240,chum1262,grambank
inga1252,quec1387,grambank
ingr1248,ural1272,grambank
ingu1240,nakh1245,grambank
iqui1243,zapa1251,grambank
irab1238,japo1237,grambank
iran1262,aust1307,grambank
iraq1241,afro1255,grambank
irar1238,aust1307,grambank
iray1237,aust1307,grambank
iris1253,indo1319,grambank
iron1242,indo1319,grambank
irul1244,drav1251,grambank
isco1239,pano1259,grambank
isin1239,aust1307,grambank
isir1237,kwer1242,grambank
isla1278,araw1281,grambank
isna1241,aust1307,grambank
isth1240,utoa1244,grambank
isth1241,utoa1244,grambank
isth1242,utoa1244,grambank
ital1282,indo1319,grambank
itza1241,maya1287,grambank
iumi1238,hmon1336,grambank
ivat1242,aust1307,grambank
iwai1244,iwai1246,grambank
iwal1237,aust1307,grambank
iwam1256,sepi1257,grambank
iyoo1238,nucl1709,grambank
jahh1242,aust1305,grambank
jalk1242,mand1469,grambank
jama1261,araw1282,grambank
jama1262,indo1319,grambank
jamb1236,aust1307,grambank
jams1239,dogo1299,grambank
japa1238,sign1238,grambank
japh1234,sino1245,grambank
jaqa1244,ayma1253,grambank
jara1266,aust1307,grambank
jaru1254,pama1250,grambank
java1254,aust1307,grambank
jede1239,aust1305,grambank
jeha1242,aust1305,grambank
jehh1245,aust1305,grambank
jenn1240,drav1251,grambank
jeru1240,sino1245,grambank
jiba1237,atla1278,grambank
jina1244,afro1255,grambank
jita1239,atla1278,grambank
jjuu1238,atla1278,grambank
juan1238,aust1305,grambank
juho1239,kxaa1236,grambank
juku1254,atla1278,grambank
jurm1239,cent2225,grambank
kaba1278,abkh1242,grambank
kaba1281,cent2225,grambank
kaby1243,afro1255,grambank
kach1280,sino1245,grambank
kach1284,gong1255,grambank
kada1242,drav1251,grambank
kado1242,sino1245,grambank
kafa1242,gong1255,grambank
kaga1256,aust1307,grambank
kagf1238,atla1278,grambank
kagu1239,atla1278,grambank
kaik1246,sino1245,grambank
kain1272,nucl1710,grambank
